test_donor,seed,scenario,protein,mask_seed,mask_source,n_masked_proteins
P2,42,random_70,CD192,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD102,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD106,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD122,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD267,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD41,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD137,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD43,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD163,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD357,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD59,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD309,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD124,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD13,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD184,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD2,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD29,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD303,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD49b,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD81,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD98,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD55,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,IgD,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD18,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD28,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,TSLPR,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD38-1,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD127,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD15,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD22,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,B7-H4,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD26-1,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD193,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD115,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD204,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD207,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD63,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD36,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD85g,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD243,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD72,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,MERTK,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,Folate,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,TIM-4,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD171,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD325,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD93,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,C5L2,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD235a,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD49a,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD49d,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD79a,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD9,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,TCR-V-7.2,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,TCR-V-2,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,TCR-V-24-J-18,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD354,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD305,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,LOX-1,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD203c,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD209,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD110,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD186,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD226,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD205,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD109,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD11a/CD18,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD164,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD142,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD307c/FcRL3,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD307d,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD99,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CLEC12A,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD16,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD161,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CCR10,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD271,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD199,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD46,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,VEGFR-3,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CLEC2,332427,legacy_v33_deterministic_feature_mask,157
P2,42,random_70,CD26-2,332427,legacy_v33_deterministic_feature_mask,157
P2,42,marker_memory,CD45RA,,legacy_v33_deterministic_feature_mask,6
P2,42,marker_memory,CD45RO,,legacy_v33_deterministic_feature_mask,6
P2,42,marker_memory,CD27,,legacy_v33_deterministic_feature_mask,6
P2,42,marker_memory,CD95,,legacy_v33_deterministic_feature_mask,6
P2,42,marker_memory,CD28,,legacy_v33_deterministic_feature_mask,6
P2,42,marker_memory,CD127,,legacy_v33_deterministic_feature_mask,6
P2,42,marker_tcell,CD3-1,,legacy_v33_deterministic_feature_mask,15
P2,42,marker_tcell,CD4-1,,legacy_v33_deterministic_feature_mask,15
P2,42,marker_tcell,CD8,,legacy_v33_deterministic_feature_mask,15
P2,42,marker_tcell,CD3-2,,legacy_v33_deterministic_feature_mask,15
P2,42,marker_tcell,CD45RA,,legacy_v33_deterministic_feature_mask,15
P2,42,marker_tcell,CD4-2,,legacy_v33_deterministic_feature_mask,15
P2,42,marker_tcell,CD8a,,legacy_v33_deterministic_feature_mask,15
P2,42,marker_tcell,CD45RO,,legacy_v33_deterministic_feature_mask,15
P2,42,marker_tcell,TCR-1,,legacy_v33_deterministic_feature_mask,15
P2,42,marker_tcell,CD27,,legacy_v33_deterministic_feature_mask,15
P2,42,marker_tcell,TCR-2,,legacy_v33_deterministic_feature_mask,15
P2,42,marker_tcell,TCR-V-7.2,,legacy_v33_deterministic_feature_mask,15
P2,42,marker_tcell,TCR-V-2,,legacy_v33_deterministic_feature_mask,15
P2,42,marker_tcell,TCR-V-9,,legacy_v33_deterministic_feature_mask,15
P2,42,marker_tcell,TCR-V-24-J-18,,legacy_v33_deterministic_feature_mask,15
P2,42,rna_only,CD80,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD86,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD274,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD273,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD275-1,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD11b-1,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,Galectin-9,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD270,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD252,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD155,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD112,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD47,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD70,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD30,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD48,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD40,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD154,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD52,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD3-1,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD4-1,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD8,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD56-1,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD45-1,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD3-2,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD19,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD11c,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD34,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD138-1,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD269,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD90,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD117,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD45RA,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD123,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD105,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD201,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD194,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD4-2,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD44-1,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD8a,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD14,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD56-2,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD25,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD45RO,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD279,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,TIGIT,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,Rat-IgG2b,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD20,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD335,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD294,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD31,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD44-2,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD133-1,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,Podoplanin,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD140a,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD140b,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,Cadherin,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD340,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD146,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD324,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,IgM,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,TCR-1,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD195,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD196,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD185,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD103,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD69,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD152,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD223,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD27,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD107a,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD95,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD134,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,HLA-DR,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD1c,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD11b-2,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD64,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD141,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD1d,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD314,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD66b,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD35,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD57,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD366,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD272,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD278,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD275-2,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD96,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD39,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD178,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CX3CR1,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD24,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD21,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD79b,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD66a/c/e,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD244,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD235ab,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,Siglec-8,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD206,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD169,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD370,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,XCR1,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,Notch-1,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,Integrin-7,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD268,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD42b,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD54,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD62P,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD119,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,TCR-2,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,Notch-2,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD68,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,Rat-IgG1-1,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,Rat-IgG1-2,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,Rag-IgG2c,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD192,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD102,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD106,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD122,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD267,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD62E,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD135,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD41,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD137,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD43,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD163,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD83,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD357,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD59,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD309,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD124,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD13,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD184,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD2,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD29,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD303,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD49b,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD61,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD81,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD98,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD177,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD55,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,IgD,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD18,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD28,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,TSLPR,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD38-1,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD127,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD45-2,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD15,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD22,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD71,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,B7-H4,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD26-1,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD193,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD115,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD204,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD144,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD301,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD1a,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD207,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD63,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD284,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD304,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD36,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD172a,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD85g,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD38-2,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD243,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD72,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,MERTK,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,Folate,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,TIM-4,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD171,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD325,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD93,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD200,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD338,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,C5L2,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD235a,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD49a,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD49d,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD73,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD79a,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD9,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,TCR-V-7.2,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,TCR-V-2,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,TCR-V-9,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,TCR-V-24-J-18,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD354,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD202b,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD305,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,LOX-1,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD203c,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD133-2,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD209,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD110,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD337,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD253,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD186,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD226,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD205,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD109,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD11a/CD18,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD126,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD164,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD142,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD307c/FcRL3,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD307d,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD307e,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD319,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD138-2,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD99,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CLEC12A,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD16,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD161,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CCR10,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD271,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,GP130,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD199,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD45RB,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD46,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,VEGFR-3,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CLEC2,,legacy_v33_deterministic_feature_mask,224
P2,42,rna_only,CD26-2,,legacy_v33_deterministic_feature_mask,224
P2,42,random_size_matched_6,CD3-2,822421,random_feature_name_only_size_matched_to_targeted_mask,6
P2,42,random_size_matched_6,CD324,822421,random_feature_name_only_size_matched_to_targeted_mask,6
P2,42,random_size_matched_6,Rat-IgG1-2,822421,random_feature_name_only_size_matched_to_targeted_mask,6
P2,42,random_size_matched_6,IgD,822421,random_feature_name_only_size_matched_to_targeted_mask,6
P2,42,random_size_matched_6,CD15,822421,random_feature_name_only_size_matched_to_targeted_mask,6
P2,42,random_size_matched_6,CD138-2,822421,random_feature_name_only_size_matched_to_targeted_mask,6
P2,42,random_size_matched_15,CD45-1,822422,random_feature_name_only_size_matched_to_targeted_mask,15
P2,42,random_size_matched_15,CD19,822422,random_feature_name_only_size_matched_to_targeted_mask,15
P2,42,random_size_matched_15,CD269,822422,random_feature_name_only_size_matched_to_targeted_mask,15
P2,42,random_size_matched_15,CD45RA,822422,random_feature_name_only_size_matched_to_targeted_mask,15
P2,42,random_size_matched_15,CD194,822422,random_feature_name_only_size_matched_to_targeted_mask,15
P2,42,random_size_matched_15,CD25,822422,random_feature_name_only_size_matched_to_targeted_mask,15
P2,42,random_size_matched_15,CD196,822422,random_feature_name_only_size_matched_to_targeted_mask,15
P2,42,random_size_matched_15,CD357,822422,random_feature_name_only_size_matched_to_targeted_mask,15
P2,42,random_size_matched_15,CD124,822422,random_feature_name_only_size_matched_to_targeted_mask,15
P2,42,random_size_matched_15,CD184,822422,random_feature_name_only_size_matched_to_targeted_mask,15
P2,42,random_size_matched_15,CD2,822422,random_feature_name_only_size_matched_to_targeted_mask,15
P2,42,random_size_matched_15,CD15,822422,random_feature_name_only_size_matched_to_targeted_mask,15
P2,42,random_size_matched_15,CD204,822422,random_feature_name_only_size_matched_to_targeted_mask,15
P2,42,random_size_matched_15,CD144,822422,random_feature_name_only_size_matched_to_targeted_mask,15
P2,42,random_size_matched_15,CD243,822422,random_feature_name_only_size_matched_to_targeted_mask,15
P2,43,random_10,CD86,332431,legacy_v33_deterministic_feature_mask,22
P2,43,random_10,CD48,332431,legacy_v33_deterministic_feature_mask,22
P2,43,random_10,CD154,332431,legacy_v33_deterministic_feature_mask,22
P2,43,random_10,CD4-1,332431,legacy_v33_deterministic_feature_mask,22
P2,43,random_10,CD269,332431,legacy_v33_deterministic_feature_mask,22
P2,43,random_10,CD8a,332431,legacy_v33_deterministic_feature_mask,22
P2,43,random_10,CD44-2,332431,legacy_v33_deterministic_feature_mask,22
P2,43,random_10,CD146,332431,legacy_v33_deterministic_feature_mask,22
P2,43,random_10,CD185,332431,legacy_v33_deterministic_feature_mask,22
P2,43,random_10,CD314,332431,legacy_v33_deterministic_feature_mask,22
P2,43,random_10,CD24,332431,legacy_v33_deterministic_feature_mask,22
P2,43,random_10,CD206,332431,legacy_v33_deterministic_feature_mask,22
P2,43,random_10,CD169,332431,legacy_v33_deterministic_feature_mask,22
P2,43,random_10,Notch-1,332431,legacy_v33_deterministic_feature_mask,22
P2,43,random_10,Rag-IgG2c,332431,legacy_v33_deterministic_feature_mask,22
P2,43,random_10,CD135,332431,legacy_v33_deterministic_feature_mask,22
P2,43,random_10,CD41,332431,legacy_v33_deterministic_feature_mask,22
P2,43,random_10,CD124,332431,legacy_v33_deterministic_feature_mask,22
P2,43,random_10,IgD,332431,legacy_v33_deterministic_feature_mask,22
P2,43,random_10,CD71,332431,legacy_v33_deterministic_feature_mask,22
P2,43,random_10,TIM-4,332431,legacy_v33_deterministic_feature_mask,22
P2,43,random_10,TCR-V-2,332431,legacy_v33_deterministic_feature_mask,22
P2,43,random_30,CD86,332433,legacy_v33_deterministic_feature_mask,67
P2,43,random_30,CD275-1,332433,legacy_v33_deterministic_feature_mask,67
P2,43,random_30,CD11b-1,332433,legacy_v33_deterministic_feature_mask,67
P2,43,random_30,CD155,332433,legacy_v33_deterministic_feature_mask,67
P2,43,random_30,CD70,332433,legacy_v33_deterministic_feature_mask,67
P2,43,random_30,CD48,332433,legacy_v33_deterministic_feature_mask,67
P2,43,random_30,CD40,332433,legacy_v33_deterministic_feature_mask,67
P2,43,random_30,CD4-1,332433,legacy_v33_deterministic_feature_mask,67
