test_donor,seed,scenario,n_masked_proteins,mask_seed,mask_source,masked_proteins
P2,42,random_30,67,332423,legacy_v33_deterministic_feature_mask,CD80|CD274|CD275-1|Galectin-9|CD270|CD155|CD70|CD48|CD52|CD3-1|CD194|CD44-1|CD8a|CD14|CD56-2|CD25|Rat-IgG2b|Podoplanin|CD185|CD69|CD107a|CD1c|CD1d|CD314|CD66b|CD278|CD96|CD39|CD178|CD24|CD21|CD169|CD370|Notch-1|Rag-IgG2c|CD102|CD267|CD137|CD163|CD357|CD59|CD184|IgD|CD38-1|CD127|CD22|CD71|CD172a|Folate|CD171|CD325|CD338|CD49d|CD79a|TCR-V-7.2|TCR-V-9|TCR-V-24-J-18|CD354|CD202b|CD203c|CD133-2|CD186|CD205|CD11a/CD18|GP130|CD199|CLEC2
P2,42,random_50,112,332425,legacy_v33_deterministic_feature_mask,CD80|CD275-1|CD11b-1|CD270|CD252|CD155|CD112|CD47|CD154|CD4-1|CD8|CD56-1|CD45-1|CD3-2|CD90|CD117|CD45RA|CD123|CD201|CD14|CD25|CD45RO|TIGIT|CD20|CD335|CD294|CD31|CD44-2|Podoplanin|CD140a|CD340|CD324|CD196|CD223|CD27|CD107a|CD134|HLA-DR|CD314|CD66b|CD366|CD278|CD39|CX3CR1|CD24|CD79b|CD244|CD235ab|Notch-1|Integrin-7|CD119|TCR-2|CD68|Rat-IgG1-1|CD106|CD122|CD267|CD135|CD137|CD83|CD357|CD59|CD29|CD61|CD177|CD55|CD18|TSLPR|CD127|CD45-2|CD15|CD26-1|CD115|CD301|CD1a|CD284|CD304|CD172a|CD38-2|CD243|CD72|Folate|TIM-4|CD200|CD338|CD235a|CD49d|TCR-V-7.2|TCR-V-2|TCR-V-24-J-18|CD202b|CD305|CD203c|CD133-2|CD209|CD110|CD337|CD253|CD226|CD109|CD11a/CD18|CD164|CD307c/FcRL3|CD307d|CD319|CD99|CLEC12A|CCR10|GP130|CD45RB|VEGFR-3|CLEC2
P2,42,random_70,157,332427,legacy_v33_deterministic_feature_mask,CD86|CD274|CD273|CD275-1|CD270|CD155|CD112|CD47|CD48|CD40|CD52|CD4-1|CD8|CD19|CD11c|CD269|CD90|CD117|CD123|CD105|CD194|CD4-2|CD44-1|CD8a|CD14|CD56-2|CD45RO|CD279|TIGIT|Rat-IgG2b|CD20|CD294|CD31|CD44-2|Podoplanin|CD140a|CD140b|Cadherin|CD340|CD146|CD195|CD185|CD103|CD69|CD152|CD27|CD107a|CD134|HLA-DR|CD1c|CD64|CD141|CD1d|CD314|CD57|CD272|CD278|CD275-2|CD39|CD24|CD21|CD244|Siglec-8|CD206|CD169|CD370|XCR1|Notch-1|Integrin-7|CD42b|CD62P|CD119|TCR-2|CD68|Rat-IgG1-2|CD192|CD102|CD106|CD122|CD267|CD41|CD137|CD43|CD163|CD357|CD59|CD309|CD124|CD13|CD184|CD2|CD29|CD303|CD49b|CD81|CD98|CD55|IgD|CD18|CD28|TSLPR|CD38-1|CD127|CD15|CD22|B7-H4|CD26-1|CD193|CD115|CD204|CD207|CD63|CD36|CD85g|CD243|CD72|MERTK|Folate|TIM-4|CD171|CD325|CD93|C5L2|CD235a|CD49a|CD49d|CD79a|CD9|TCR-V-7.2|TCR-V-2|TCR-V-24-J-18|CD354|CD305|LOX-1|CD203c|CD209|CD110|CD186|CD226|CD205|CD109|CD11a/CD18|CD164|CD142|CD307c/FcRL3|CD307d|CD99|CLEC12A|CD16|CD161|CCR10|CD271|CD199|CD46|VEGFR-3|CLEC2|CD26-2
P2,42,marker_memory,6,,legacy_v33_deterministic_feature_mask,CD45RA|CD45RO|CD27|CD95|CD28|CD127
P2,42,marker_tcell,15,,legacy_v33_deterministic_feature_mask,CD3-1|CD4-1|CD8|CD3-2|CD45RA|CD4-2|CD8a|CD45RO|TCR-1|CD27|TCR-2|TCR-V-7.2|TCR-V-2|TCR-V-9|TCR-V-24-J-18
P2,42,rna_only,224,,legacy_v33_deterministic_feature_mask,CD80|CD86|CD274|CD273|CD275-1|CD11b-1|Galectin-9|CD270|CD252|CD155|CD112|CD47|CD70|CD30|CD48|CD40|CD154|CD52|CD3-1|CD4-1|CD8|CD56-1|CD45-1|CD3-2|CD19|CD11c|CD34|CD138-1|CD269|CD90|CD117|CD45RA|CD123|CD105|CD201|CD194|CD4-2|CD44-1|CD8a|CD14|CD56-2|CD25|CD45RO|CD279|TIGIT|Rat-IgG2b|CD20|CD335|CD294|CD31|CD44-2|CD133-1|Podoplanin|CD140a|CD140b|Cadherin|CD340|CD146|CD324|IgM|TCR-1|CD195|CD196|CD185|CD103|CD69|CD152|CD223|CD27|CD107a|CD95|CD134|HLA-DR|CD1c|CD11b-2|CD64|CD141|CD1d|CD314|CD66b|CD35|CD57|CD366|CD272|CD278|CD275-2|CD96|CD39|CD178|CX3CR1|CD24|CD21|CD79b|CD66a/c/e|CD244|CD235ab|Siglec-8|CD206|CD169|CD370|XCR1|Notch-1|Integrin-7|CD268|CD42b|CD54|CD62P|CD119|TCR-2|Notch-2|CD68|Rat-IgG1-1|Rat-IgG1-2|Rag-IgG2c|CD192|CD102|CD106|CD122|CD267|CD62E|CD135|CD41|CD137|CD43|CD163|CD83|CD357|CD59|CD309|CD124|CD13|CD184|CD2|CD29|CD303|CD49b|CD61|CD81|CD98|CD177|CD55|IgD|CD18|CD28|TSLPR|CD38-1|CD127|CD45-2|CD15|CD22|CD71|B7-H4|CD26-1|CD193|CD115|CD204|CD144|CD301|CD1a|CD207|CD63|CD284|CD304|CD36|CD172a|CD85g|CD38-2|CD243|CD72|MERTK|Folate|TIM-4|CD171|CD325|CD93|CD200|CD338|C5L2|CD235a|CD49a|CD49d|CD73|CD79a|CD9|TCR-V-7.2|TCR-V-2|TCR-V-9|TCR-V-24-J-18|CD354|CD202b|CD305|LOX-1|CD203c|CD133-2|CD209|CD110|CD337|CD253|CD186|CD226|CD205|CD109|CD11a/CD18|CD126|CD164|CD142|CD307c/FcRL3|CD307d|CD307e|CD319|CD138-2|CD99|CLEC12A|CD16|CD161|CCR10|CD271|GP130|CD199|CD45RB|CD46|VEGFR-3|CLEC2|CD26-2
P2,42,random_size_matched_6,6,822421,random_feature_name_only_size_matched_to_targeted_mask,CD3-2|CD324|Rat-IgG1-2|IgD|CD15|CD138-2
P2,42,random_size_matched_15,15,822422,random_feature_name_only_size_matched_to_targeted_mask,CD45-1|CD19|CD269|CD45RA|CD194|CD25|CD196|CD357|CD124|CD184|CD2|CD15|CD204|CD144|CD243
P2,43,full,0,,legacy_v33_deterministic_feature_mask,
P2,43,random_10,22,332431,legacy_v33_deterministic_feature_mask,CD86|CD48|CD154|CD4-1|CD269|CD8a|CD44-2|CD146|CD185|CD314|CD24|CD206|CD169|Notch-1|Rag-IgG2c|CD135|CD41|CD124|IgD|CD71|TIM-4|TCR-V-2
P2,43,random_30,67,332433,legacy_v33_deterministic_feature_mask,CD86|CD275-1|CD11b-1|CD155|CD70|CD48|CD40|CD4-1|CD3-2|CD138-1|CD269|CD117|CD123|CD4-2|CD14|CD45RO|TIGIT|CD31|CD146|CD324|IgM|CD196|CD95|HLA-DR|CD1c|CD141|CX3CR1|CD66a/c/e|CD235ab|CD268|CD42b|CD54|Rag-IgG2c|CD192|CD267|CD62E|CD41|CD163|CD357|CD59|CD303|CD49b|CD61|CD81|CD55|CD18|CD45-2|CD15|CD22|CD71|CD115|CD1a|CD207|CD38-2|CD72|CD235a|CD49a|CD79a|CD9|TCR-V-2|CD305|CD133-2|CD110|CD253|CD11a/CD18|CD307e|CD45RB
P2,43,random_50,112,332435,legacy_v33_deterministic_feature_mask,CD80|CD86|CD273|Galectin-9|CD252|CD155|CD47|CD48|CD154|CD56-1|CD45-1|CD90|CD45RA|CD105|CD4-2|CD14|CD56-2|CD279|TIGIT|Rat-IgG2b|CD20|CD335|CD294|CD44-2|Podoplanin|CD140a|Cadherin|CD195|CD185|CD103|CD69|CD152|CD27|HLA-DR|CD1c|CD11b-2|CD1d|CD314|CD66b|CD35|CD57|CD272|CD278|CD275-2|CD178|CX3CR1|CD24|CD79b|CD235ab|Siglec-8|CD206|CD370|Integrin-7|CD62P|TCR-2|Notch-2|CD68|Rat-IgG1-1|Rag-IgG2c|CD267|CD135|CD41|CD43|CD163|CD83|CD59|CD309|CD124|CD13|CD2|CD29|CD303|CD49b|CD61|CD55|CD18|TSLPR|CD38-1|CD45-2|CD15|CD22|CD71|B7-H4|CD204|CD207|CD63|CD304|CD85g|CD38-2|CD243|C5L2|CD49a|CD49d|CD73|CD79a|TCR-V-9|CD354|CD202b|LOX-1|CD203c|CD209|CD186|CD109|CD126|CD307d|CD307e|CD319|CD99|CD16|CD161|GP130|CD45RB
P2,43,random_70,157,332437,legacy_v33_deterministic_feature_mask,CD80|CD86|CD275-1|CD155|CD112|CD70|CD30|CD40|CD154|CD52|CD4-1|CD8|CD56-1|CD45-1|CD19|CD11c|CD138-1|CD269|CD90|CD117|CD45RA|CD201|CD194|CD4-2|CD56-2|CD25|CD45RO|CD279|CD20|CD335|CD294|CD31|CD133-1|CD140a|CD140b|Cadherin|CD340|CD146|TCR-1|CD195|CD185|CD103|CD69|CD152|CD223|CD27|CD95|CD134|CD1c|CD64|CD141|CD1d|CD66b|CD35|CD366|CD278|CD275-2|CD39|CX3CR1|CD79b|CD66a/c/e|CD244|Siglec-8|CD169|Notch-1|CD42b|CD54|CD62P|CD119|TCR-2|Notch-2|CD68|Rat-IgG1-1|Rat-IgG1-2|CD106|CD135|CD41|CD137|CD163|CD83|CD357|CD59|CD124|CD29|CD303|CD61|CD81|CD98|CD177|CD55|CD18|CD28|CD38-1|CD127|CD45-2|CD15|CD71|CD26-1|CD115|CD204|CD144|CD301|CD207|CD63|CD284|CD304|CD36|CD172a|CD85g|CD38-2|CD243|CD72|MERTK|Folate|CD171|CD325|CD93|CD200|CD338|C5L2|CD235a|CD49a|CD49d|CD73|CD79a|CD9|TCR-V-7.2|TCR-V-2|TCR-V-9|TCR-V-24-J-18|CD354|CD202b|CD305|LOX-1|CD203c|CD209|CD110|CD337|CD253|CD226|CD205|CD11a/CD18|CD126|CD164|CD142|CD307c/FcRL3|CD307d|CD319|CD138-2|CD16|CD161|CCR10|CD271|GP130|CD46|VEGFR-3|CLEC2
P2,43,marker_memory,6,,legacy_v33_deterministic_feature_mask,CD45RA|CD45RO|CD27|CD95|CD28|CD127
P2,43,marker_tcell,15,,legacy_v33_deterministic_feature_mask,CD3-1|CD4-1|CD8|CD3-2|CD45RA|CD4-2|CD8a|CD45RO|TCR-1|CD27|TCR-2|TCR-V-7.2|TCR-V-2|TCR-V-9|TCR-V-24-J-18
P2,43,rna_only,224,,legacy_v33_deterministic_feature_mask,CD80|CD86|CD274|CD273|CD275-1|CD11b-1|Galectin-9|CD270|CD252|CD155|CD112|CD47|CD70|CD30|CD48|CD40|CD154|CD52|CD3-1|CD4-1|CD8|CD56-1|CD45-1|CD3-2|CD19|CD11c|CD34|CD138-1|CD269|CD90|CD117|CD45RA|CD123|CD105|CD201|CD194|CD4-2|CD44-1|CD8a|CD14|CD56-2|CD25|CD45RO|CD279|TIGIT|Rat-IgG2b|CD20|CD335|CD294|CD31|CD44-2|CD133-1|Podoplanin|CD140a|CD140b|Cadherin|CD340|CD146|CD324|IgM|TCR-1|CD195|CD196|CD185|CD103|CD69|CD152|CD223|CD27|CD107a|CD95|CD134|HLA-DR|CD1c|CD11b-2|CD64|CD141|CD1d|CD314|CD66b|CD35|CD57|CD366|CD272|CD278|CD275-2|CD96|CD39|CD178|CX3CR1|CD24|CD21|CD79b|CD66a/c/e|CD244|CD235ab|Siglec-8|CD206|CD169|CD370|XCR1|Notch-1|Integrin-7|CD268|CD42b|CD54|CD62P|CD119|TCR-2|Notch-2|CD68|Rat-IgG1-1|Rat-IgG1-2|Rag-IgG2c|CD192|CD102|CD106|CD122|CD267|CD62E|CD135|CD41|CD137|CD43|CD163|CD83|CD357|CD59|CD309|CD124|CD13|CD184|CD2|CD29|CD303|CD49b|CD61|CD81|CD98|CD177|CD55|IgD|CD18|CD28|TSLPR|CD38-1|CD127|CD45-2|CD15|CD22|CD71|B7-H4|CD26-1|CD193|CD115|CD204|CD144|CD301|CD1a|CD207|CD63|CD284|CD304|CD36|CD172a|CD85g|CD38-2|CD243|CD72|MERTK|Folate|TIM-4|CD171|CD325|CD93|CD200|CD338|C5L2|CD235a|CD49a|CD49d|CD73|CD79a|CD9|TCR-V-7.2|TCR-V-2|TCR-V-9|TCR-V-24-J-18|CD354|CD202b|CD305|LOX-1|CD203c|CD133-2|CD209|CD110|CD337|CD253|CD186|CD226|CD205|CD109|CD11a/CD18|CD126|CD164|CD142|CD307c/FcRL3|CD307d|CD307e|CD319|CD138-2|CD99|CLEC12A|CD16|CD161|CCR10|CD271|GP130|CD199|CD45RB|CD46|VEGFR-3|CLEC2|CD26-2
P2,43,random_size_matched_6,6,822431,random_feature_name_only_size_matched_to_targeted_mask,CD47|CD324|CD223|CD169|CD68|CD142
P2,43,random_size_matched_15,15,822432,random_feature_name_only_size_matched_to_targeted_mask,CD30|CD56-1|CD11b-2|CD54|CD267|CD18|TSLPR|B7-H4|C5L2|TCR-V-2|CD110|CD226|GP130|CLEC2|CD26-2
P3,41,full,0,,legacy_v33_deterministic_feature_mask,
P3,41,random_10,22,333411,legacy_v33_deterministic_feature_mask,CD80|CD273|CD252|CD52|CD56-2|CD25|CD314|CD96|CD244|CD206|Integrin-7|Rag-IgG2c|CD106|CD135|CD163|CD124|CD1a|Folate|CD338|CD79a|CD203c|CD307d
P3,41,random_30,67,333413,legacy_v33_deterministic_feature_mask,CD86|CD274|CD155|CD112|CD47|CD70|CD40|CD154|CD52|CD4-1|CD56-1|CD45-1|CD3-2|CD45RA|CD44-1|CD45RO|CD20|CD335|TCR-1|CD195|CD152|CD27|CD141|CD314|CD35|CD57|CD370|XCR1|CD268|CD54|Rat-IgG1-1|CD192|CD163|CD13|CD184|CD81|CD28|CD38-1|CD127|CD207|CD85g|TIM-4|CD93|CD200|C5L2|CD235a|CD49a|CD49d|CD73|CD79a|CD9|TCR-V-24-J-18|LOX-1|CD110|CD337|CD253|CD226|CD205|CD11a/CD18|CD307c/FcRL3|CD307e|CD16|CCR10|CD271|CD199|VEGFR-3|CLEC2
P3,41,random_50,112,333415,legacy_v33_deterministic_feature_mask,CD274|CD273|CD275-1|CD270|CD47|CD30|CD48|CD40|CD154|CD52|CD3-1|CD56-1|CD45-1|CD3-2|CD138-1|CD269|CD117|CD123|CD201|CD44-1|CD8a|CD14|CD56-2|Rat-IgG2b|CD20|CD294|CD31|CD44-2|Podoplanin|CD140b|CD146|CD324|CD196|CD103|CD152|CD27|CD107a|HLA-DR|CD1c|CD11b-2|CD1d|CD272|CD275-2|CD39|CD79b|CD66a/c/e|CD206|CD169|CD370|XCR1|Notch-1|Integrin-7|CD42b|CD54|CD62P|CD119|TCR-2|Rat-IgG1-2|Rag-IgG2c|CD135|CD41|CD43|CD357|CD59|CD309|CD2|CD303|CD61|CD81|CD98|CD177|CD55|IgD|TSLPR|CD38-1|CD45-2|CD71|B7-H4|CD115|CD63|CD304|CD36|CD243|MERTK|Folate|CD171|CD200|C5L2|CD49a|CD9|TCR-V-9|CD202b|CD305|LOX-1|CD203c|CD133-2|CD110|CD337|CD226|CD205|CD11a/CD18|CD126|CD164|CD142|CD307d|CD307e|CD99|CLEC12A|CD199|CD45RB|VEGFR-3|CLEC2
P3,41,random_70,157,333417,legacy_v33_deterministic_feature_mask,CD80|CD86|CD274|CD273|Galectin-9|CD155|CD112|CD47|CD30|CD48|CD40|CD154|CD52|CD3-1|CD4-1|CD8|CD56-1|CD45-1|CD3-2|CD19|CD34|CD138-1|CD269|CD90|CD117|CD45RA|CD194|CD4-2|CD44-1|CD8a|CD14|CD56-2|CD25|CD45RO|CD279|Rat-IgG2b|CD20|CD335|CD31|CD44-2|CD133-1|CD140a|CD324|IgM|TCR-1|CD195|CD196|CD185|CD69|CD152|CD223|CD107a|CD95|CD64|CD141|CD1d|CD314|CD35|CD278|CD275-2|CD96|CD39|CD178|CX3CR1|CD24|CD21|CD66a/c/e|CD235ab|Siglec-8|CD206|CD169|CD370|XCR1|Notch-1|CD268|CD42b|CD62P|CD119|TCR-2|Notch-2|CD68|CD192|CD102|CD122|CD267|CD62E|CD135|CD41|CD43|CD83|CD357|CD59|CD309|CD13|CD2|CD303|CD49b|CD61|CD81|CD98|CD177|IgD|TSLPR|CD38-1|CD45-2|CD15|CD71|CD26-1|CD115|CD204|CD144|CD1a|CD207|CD63|CD284|CD304|CD36|CD85g|CD38-2|CD243|CD72|MERTK|CD93|CD200|CD338|CD235a|CD49a|CD49d|CD73|CD9|TCR-V-2|TCR-V-9|TCR-V-24-J-18|CD354|CD202b|CD305|LOX-1|CD203c|CD209|CD110|CD337|CD186|CD226|CD205|CD109|CD11a/CD18|CD126|CD142|CD307c/FcRL3|CD307e|CLEC12A|CD161|CCR10|CD199|CD46|VEGFR-3|CLEC2
P3,41,marker_memory,6,,legacy_v33_deterministic_feature_mask,CD45RA|CD45RO|CD27|CD95|CD28|CD127
P3,41,marker_tcell,15,,legacy_v33_deterministic_feature_mask,CD3-1|CD4-1|CD8|CD3-2|CD45RA|CD4-2|CD8a|CD45RO|TCR-1|CD27|TCR-2|TCR-V-7.2|TCR-V-2|TCR-V-9|TCR-V-24-J-18
P3,41,rna_only,224,,legacy_v33_deterministic_feature_mask,CD80|CD86|CD274|CD273|CD275-1|CD11b-1|Galectin-9|CD270|CD252|CD155|CD112|CD47|CD70|CD30|CD48|CD40|CD154|CD52|CD3-1|CD4-1|CD8|CD56-1|CD45-1|CD3-2|CD19|CD11c|CD34|CD138-1|CD269|CD90|CD117|CD45RA|CD123|CD105|CD201|CD194|CD4-2|CD44-1|CD8a|CD14|CD56-2|CD25|CD45RO|CD279|TIGIT|Rat-IgG2b|CD20|CD335|CD294|CD31|CD44-2|CD133-1|Podoplanin|CD140a|CD140b|Cadherin|CD340|CD146|CD324|IgM|TCR-1|CD195|CD196|CD185|CD103|CD69|CD152|CD223|CD27|CD107a|CD95|CD134|HLA-DR|CD1c|CD11b-2|CD64|CD141|CD1d|CD314|CD66b|CD35|CD57|CD366|CD272|CD278|CD275-2|CD96|CD39|CD178|CX3CR1|CD24|CD21|CD79b|CD66a/c/e|CD244|CD235ab|Siglec-8|CD206|CD169|CD370|XCR1|Notch-1|Integrin-7|CD268|CD42b|CD54|CD62P|CD119|TCR-2|Notch-2|CD68|Rat-IgG1-1|Rat-IgG1-2|Rag-IgG2c|CD192|CD102|CD106|CD122|CD267|CD62E|CD135|CD41|CD137|CD43|CD163|CD83|CD357|CD59|CD309|CD124|CD13|CD184|CD2|CD29|CD303|CD49b|CD61|CD81|CD98|CD177|CD55|IgD|CD18|CD28|TSLPR|CD38-1|CD127|CD45-2|CD15|CD22|CD71|B7-H4|CD26-1|CD193|CD115|CD204|CD144|CD301|CD1a|CD207|CD63|CD284|CD304|CD36|CD172a|CD85g|CD38-2|CD243|CD72|MERTK|Folate|TIM-4|CD171|CD325|CD93|CD200|CD338|C5L2|CD235a|CD49a|CD49d|CD73|CD79a|CD9|TCR-V-7.2|TCR-V-2|TCR-V-9|TCR-V-24-J-18|CD354|CD202b|CD305|LOX-1|CD203c|CD133-2|CD209|CD110|CD337|CD253|CD186|CD226|CD205|CD109|CD11a/CD18|CD126|CD164|CD142|CD307c/FcRL3|CD307d|CD307e|CD319|CD138-2|CD99|CLEC12A|CD16|CD161|CCR10|CD271|GP130|CD199|CD45RB|CD46|VEGFR-3|CLEC2|CD26-2
P3,41,random_size_matched_6,6,823411,random_feature_name_only_size_matched_to_targeted_mask,CD11b-1|Rat-IgG2b|CD66a/c/e|CD41|CD83|CD26-2
P3,41,random_size_matched_15,15,823412,random_feature_name_only_size_matched_to_targeted_mask,CD30|CD105|Podoplanin|CD195|CD196|CD206|CD119|TSLPR|CD26-1|CD38-2|MERTK|CD209|CD337|CD205|CD109
P3,42,full,0,,legacy_v33_deterministic_feature_mask,
P3,42,random_10,22,333421,legacy_v33_deterministic_feature_mask,CD154|CD52|CD4-1|CD56-1|CD269|CD123|Rat-IgG2b|CD44-2|CD133-1|CD195|CD152|CD27|CD62P|Rat-IgG1-1|CD267|CD135|CD41|CD29|CD193|CD73|CD354|CD164
P3,42,random_30,67,333423,legacy_v33_deterministic_feature_mask,CD11b-1|Galectin-9|CD47|CD30|CD154|CD4-1|CD138-1|CD269|CD45RA|CD123|CD8a|CD14|CD25|TIGIT|CD294|CD31|CD140b|TCR-1|CD185|CD69|CD107a|CD1c|CD64|CD314|CD66b|CD35|CD366|CD96|CD178|CD79b|Integrin-7|CD268|TCR-2|CD68|Rat-IgG1-1|CD106|CD267|CD62E|CD135|CD137|CD83|CD61|CD55|TSLPR|CD45-2|CD22|CD71|CD144|CD85g|CD38-2|CD243|MERTK|CD200|CD49a|CD73|TCR-V-7.2|TCR-V-2|TCR-V-24-J-18|CD354|CD203c|CD205|CD307e|CD16|CD199|CD45RB|CLEC2|CD26-2
P3,42,random_50,112,333425,legacy_v33_deterministic_feature_mask,CD80|CD274|CD273|CD275-1|CD11b-1|CD155|CD112|CD47|CD30|CD40|CD3-1|CD3-2|CD138-1|CD269|CD90|CD117|CD45RA|CD105|CD201|CD194|CD8a|CD25|CD45RO|TIGIT|Rat-IgG2b|CD20|CD335|CD294|CD44-2|CD133-1|Podoplanin|Cadherin|CD146|CD324|CD195|CD185|CD103|CD27|CD134|HLA-DR|CD11b-2|CD314|CD35|CD57|CD278|CD96|CD39|CD24|CD66a/c/e|CD244|Siglec-8|XCR1|Integrin-7|CD268|CD42b|CD54|CD119|CD68|Rag-IgG2c|CD192|CD102|CD106|CD62E|CD135|CD137|CD43|CD357|CD124|CD184|CD2|CD61|TSLPR|CD38-1|CD127|CD22|B7-H4|CD193|CD1a|CD63|CD284|CD172a|CD243|Folate|TIM-4|CD171|CD325|CD93|CD338|CD235a|CD49a|CD49d|CD79a|CD9|LOX-1|CD203c|CD133-2|CD209|CD253|CD186|CD226|CD109|CD11a/CD18|CD126|CD164|CD307e|CD319|CD138-2|CD99|CLEC12A|CD16|CD199|CD45RB
P3,42,random_70,157,333427,legacy_v33_deterministic_feature_mask,CD80|CD86|CD273|CD275-1|CD11b-1|CD252|CD155|CD112|CD70|CD48|CD40|CD154|CD52|CD4-1|CD8|CD56-1|CD45-1|CD3-2|CD19|CD11c|CD269|CD90|CD117|CD45RA|CD105|CD201|CD194|CD44-1|CD8a|CD14|CD56-2|CD25|CD45RO|CD279|Rat-IgG2b|CD20|CD31|CD44-2|CD140a|CD140b|Cadherin|CD340|CD146|IgM|TCR-1|CD195|CD196|CD103|CD69|CD152|CD223|CD27|CD107a|CD95|CD134|HLA-DR|CD1c|CD11b-2|CD64|CD1d|CD314|CD66b|CD35|CD57|CD366|CD272|CD278|CD275-2|CD96|CD24|CD66a/c/e|CD244|CD235ab|Siglec-8|CD206|Notch-1|CD42b|CD54|CD62P|CD119|TCR-2|CD68|Rat-IgG1-1|Rag-IgG2c|CD192|CD102|CD122|CD267|CD135|CD41|CD137|CD43|CD357|CD59|CD184|CD29|CD49b|CD61|CD81|IgD|CD28|TSLPR|CD38-1|CD127|CD45-2|CD22|CD193|CD115|CD204|CD1a|CD207|CD63|CD284|CD304|CD172a|CD85g|CD38-2|CD243|CD72|MERTK|Folate|TIM-4|CD235a|CD49a|CD49d|CD73|TCR-V-7.2|TCR-V-2|TCR-V-9|TCR-V-24-J-18|CD354|CD202b|CD305|CD203c|CD133-2|CD209|CD337|CD253|CD226|CD205|CD109|CD11a/CD18|CD126|CD164|CD142|CD307c/FcRL3|CD307d|CD319|CD138-2|CD99|CD271|GP130|CD199|CD45RB|CD46|CLEC2|CD26-2
P3,42,marker_memory,6,,legacy_v33_deterministic_feature_mask,CD45RA|CD45RO|CD27|CD95|CD28|CD127
P3,42,marker_tcell,15,,legacy_v33_deterministic_feature_mask,CD3-1|CD4-1|CD8|CD3-2|CD45RA|CD4-2|CD8a|CD45RO|TCR-1|CD27|TCR-2|TCR-V-7.2|TCR-V-2|TCR-V-9|TCR-V-24-J-18
P3,42,rna_only,224,,legacy_v33_deterministic_feature_mask,CD80|CD86|CD274|CD273|CD275-1|CD11b-1|Galectin-9|CD270|CD252|CD155|CD112|CD47|CD70|CD30|CD48|CD40|CD154|CD52|CD3-1|CD4-1|CD8|CD56-1|CD45-1|CD3-2|CD19|CD11c|CD34|CD138-1|CD269|CD90|CD117|CD45RA|CD123|CD105|CD201|CD194|CD4-2|CD44-1|CD8a|CD14|CD56-2|CD25|CD45RO|CD279|TIGIT|Rat-IgG2b|CD20|CD335|CD294|CD31|CD44-2|CD133-1|Podoplanin|CD140a|CD140b|Cadherin|CD340|CD146|CD324|IgM|TCR-1|CD195|CD196|CD185|CD103|CD69|CD152|CD223|CD27|CD107a|CD95|CD134|HLA-DR|CD1c|CD11b-2|CD64|CD141|CD1d|CD314|CD66b|CD35|CD57|CD366|CD272|CD278|CD275-2|CD96|CD39|CD178|CX3CR1|CD24|CD21|CD79b|CD66a/c/e|CD244|CD235ab|Siglec-8|CD206|CD169|CD370|XCR1|Notch-1|Integrin-7|CD268|CD42b|CD54|CD62P|CD119|TCR-2|Notch-2|CD68|Rat-IgG1-1|Rat-IgG1-2|Rag-IgG2c|CD192|CD102|CD106|CD122|CD267|CD62E|CD135|CD41|CD137|CD43|CD163|CD83|CD357|CD59|CD309|CD124|CD13|CD184|CD2|CD29|CD303|CD49b|CD61|CD81|CD98|CD177|CD55|IgD|CD18|CD28|TSLPR|CD38-1|CD127|CD45-2|CD15|CD22|CD71|B7-H4|CD26-1|CD193|CD115|CD204|CD144|CD301|CD1a|CD207|CD63|CD284|CD304|CD36|CD172a|CD85g|CD38-2|CD243|CD72|MERTK|Folate|TIM-4|CD171|CD325|CD93|CD200|CD338|C5L2|CD235a|CD49a|CD49d|CD73|CD79a|CD9|TCR-V-7.2|TCR-V-2|TCR-V-9|TCR-V-24-J-18|CD354|CD202b|CD305|LOX-1|CD203c|CD133-2|CD209|CD110|CD337|CD253|CD186|CD226|CD205|CD109|CD11a/CD18|CD126|CD164|CD142|CD307c/FcRL3|CD307d|CD307e|CD319|CD138-2|CD99|CLEC12A|CD16|CD161|CCR10|CD271|GP130|CD199|CD45RB|CD46|VEGFR-3|CLEC2|CD26-2
P3,42,random_size_matched_6,6,823421,random_feature_name_only_size_matched_to_targeted_mask,CD252|CD366|CD119|CD38-1|CD354|CD209
P3,42,random_size_matched_15,15,823422,random_feature_name_only_size_matched_to_targeted_mask,Notch-2|CD192|CD62E|CD357|CD177|CD22|B7-H4|CD85g|TIM-4|CD325|CD235a|CD49a|CD49d|CD253|CD109
P3,43,full,0,,legacy_v33_deterministic_feature_mask,
P3,43,random_10,22,333431,legacy_v33_deterministic_feature_mask,CD11c|CD34|CD45RO|TIGIT|CD20|CD294|CD324|CD196|CD11b-2|CD66b|CD192|CD43|CD15|CD172a|CD38-2|TCR-V-9|CD226|CD307e|CLEC12A|CD161|CD271|CD45RB
